,zipcode,street_address,person_recovered_from_race,ucr_category
17094,40212,3800_W_Muhammad_Ali_Blvd,Black,Wpns_Law_Violation
17095,40202,600_W_Jefferson_St,,Wpns_Law_Violation
17096,40202,3800_W_Muhammad_Ali_Blvd,Black,Wpns_Law_Violation
17097,40202,600_W_Jefferson_St,,Wpns_Law_Violation
17098,40212,3400_Larkwood_Ave,Black,Aggravated_Assault
17099,40211,2300_Garland_Ave,Black,Wpns_Law_Violation
17100,40202,600_W_Jefferson_St,,Injured_Person_Report
17101,40210,2300_Allston_Ave,Black,Wpns_Law_Violation
17102,40202,600_W_Jefferson_St,White,Forcible_Rape
17103,40203,1100_Cedar_Ct,Black,Robbery
17104,40272,200_Olde_English_Ct,Black,Wpns_Law_Violation
17107,40272,200_Olde_English_Ct,Black,Wpns_Law_Violation
17110,40272,200_Olde_English_Ct,Black,Wpns_Law_Violation
17113,40245,400_Gilliland_Rd,Black,Aggravated_Assault
17114,40202,600_W_Market_St,Black,Aggravated_Assault
17116,40216,4900_Graston_Ave,White,Narcotics
17118,40216,4900_Graston_Ave,White,Narcotics
