,longitude,latitude,person_recovered_from_age,confidence
longitude,1.0,-0.9964704957150872,-0.01245901676745465,-0.7875581064896833
latitude,-0.9964704957150872,1.0,0.0008342829349675069,0.7901980821977405
person_recovered_from_age,-0.01245901676745465,0.0008342829349675069,1.0,-0.012421205994049441
confidence,-0.7875581064896833,0.7901980821977405,-0.012421205994049441,1.0
